Time,Orbital_Velocity,Surface_Velocity,Altitude,Body,Apoapsis,Periapsis
0.0,0.0,0.0,92.01,Kerbin,92.01,0
1.0,0.0,0.0,92.01,Kerbin,92.01,0
2.02,0.0,0.0,92.01,Kerbin,92.01,0
3.02,0.0,0.0,92.01,Kerbin,92.01,0
4.04,0.0,0.0,92.01,Kerbin,92.01,0
5.06,0.0,0.0,92.01,Kerbin,92.01,0
6.07,0.0,0.0,92.01,Kerbin,92.01,0
7.08,2.91,0.0,92.98,Kerbin,93.42,0
8.1,7.8,0.0,98.43,Kerbin,101.55,0
9.11,12.88,0.0,109.07,Kerbin,117.57,0
10.12,18.07,0.0,124.95,Kerbin,141.68,0
11.15,23.36,0.0,146.18,Kerbin,174.15,0
12.17,28.76,0.0,172.86,Kerbin,215.27,0
13.18,34.16,0.0,204.43,Kerbin,264.27,0
14.2,39.78,0.0,242.24,Kerbin,323.41,0
15.21,45.41,0.0,284.95,Kerbin,392.13,0
16.25,51.37,0.0,335.38,Kerbin,472.41,0
17.28,57.46,0.0,392.08,Kerbin,563.35,0
18.31,63.67,0.0,455.18,Kerbin,665.33,0
19.35,70.01,0.0,524.81,Kerbin,778.76,0
20.4,76.6,0.0,602.64,Kerbin,904.03,0
21.43,83.08,0.0,684.19,Kerbin,1038.8,0
22.46,89.68,0.0,772.42,Kerbin,1185.78,0
23.5,96.54,0.0,869.38,Kerbin,1351.89,0
24.55,103.42,0.0,973.49,Kerbin,1523.72,0
25.56,110.07,0.0,1080.37,Kerbin,1703.96,0
26.56,116.87,0.0,1196.2,Kerbin,1903.26,0
27.62,123.9,0.0,1321.43,Kerbin,2115.12,0
28.66,131.1,0.0,1456.47,Kerbin,2342.07,0
29.72,138.38,0.0,1598.76,Kerbin,2575.12,0
30.74,145.36,0.0,1739.5,Kerbin,2808.41,0
31.74,152.62,0.0,1889.53,Kerbin,3059.23,0
32.8,160.23,0.0,2048.88,Kerbin,3319.58,0
33.84,168.29,0.0,2218.08,Kerbin,3595.32,0
34.9,176.06,0.0,2390.12,Kerbin,3851.69,0
35.91,183.52,0.0,2563.18,Kerbin,4091.35,0
36.95,191.69,0.0,2743.35,Kerbin,4341.13,0
37.99,200.22,0.0,2923.32,Kerbin,4581.39,0
39.03,209.49,0.0,3113.44,Kerbin,4824.04,0
40.07,219.25,0.0,3302.58,Kerbin,5064.33,0
41.13,229.45,0.0,3494.03,Kerbin,5298.0,0
42.17,240.5,0.0,3691.24,Kerbin,5540.69,0
43.22,252.23,0.0,3887.45,Kerbin,5803.15,0
44.27,264.78,0.0,4090.88,Kerbin,6081.46,0
45.33,277.44,0.0,4290.24,Kerbin,6357.08,0
46.34,290.7,0.0,4493.68,Kerbin,6657.97,0
47.34,304.02,0.0,4697.62,Kerbin,6967.32,0
48.35,317.51,0.0,4906.17,Kerbin,7286.18,0
49.35,331.42,0.0,5123.76,Kerbin,7623.7,0
50.37,345.12,0.0,5342.1,Kerbin,7970.64,0
51.37,359.08,0.0,5570.29,Kerbin,8341.94,0
52.39,373.03,0.0,5804.31,Kerbin,8730.47,0
53.41,387.0,0.0,6044.45,Kerbin,9137.5,0
54.43,401.02,0.0,6291.02,Kerbin,9565.32,0
55.45,414.59,0.0,6534.32,Kerbin,9997.62,0
56.45,428.87,0.0,6794.54,Kerbin,10470.61,0
57.47,443.38,0.0,7062.21,Kerbin,10967.66,0
58.49,457.86,0.0,7332.17,Kerbin,11479.35,0
59.5,472.93,0.0,7615.53,Kerbin,12028.25,0
60.51,488.32,0.0,7907.29,Kerbin,12606.41,0
61.54,503.47,0.0,8195.84,Kerbin,13190.93,0
62.55,518.65,0.0,8486.61,Kerbin,13792.6,0
63.55,534.85,0.0,8798.34,Kerbin,14451.56,0
64.57,551.44,0.0,9119.38,Kerbin,15144.42,0
65.58,568.76,0.0,9456.72,Kerbin,15886.79,0
66.6,586.45,0.0,9804.3,Kerbin,16666.11,0
67.61,604.49,0.0,10162.37,Kerbin,17483.14,0
68.63,622.48,0.0,10523.8,Kerbin,18321.69,0
69.64,641.17,0.0,10903.25,Kerbin,19217.06,0
70.65,659.82,0.0,11286.04,Kerbin,20135.9,0
71.66,679.21,0.0,11687.69,Kerbin,21116.86,0
72.67,698.58,0.0,12092.64,Kerbin,22124.84,0
73.68,718.32,0.0,12508.89,Kerbin,23181.5,0
74.69,738.85,0.0,12945.35,Kerbin,24312.76,0
75.71,759.4,0.0,13385.14,Kerbin,25477.91,0
76.71,780.8,0.0,13846.14,Kerbin,26727.82,0
77.72,802.24,0.0,14310.54,Kerbin,28018.09,0
78.73,824.15,0.0,14787.56,Kerbin,29377.49,0
79.73,846.99,0.0,15287.44,Kerbin,30840.58,0
80.74,869.87,0.0,15790.9,Kerbin,32355.66,0
81.76,893.26,0.0,16307.95,Kerbin,33956.81,0
82.77,917.65,0.0,16849.7,Kerbin,35685.8,0
83.78,942.58,0.0,17406.34,Kerbin,37519.64,0
84.8,967.06,0.0,17955.54,Kerbin,39388.65,0
85.82,993.09,0.0,18542.53,Kerbin,41454.97,0
86.83,1019.7,0.0,19145.66,Kerbin,43655.56,0
87.89,1046.89,0.0,19765.35,Kerbin,46002.7,0
88.9,1074.13,0.0,20389.45,Kerbin,48459.32,0
89.91,1102.52,0.0,21043.39,Kerbin,51138.81,0
90.93,1121.41,0.0,21633.37,Kerbin,53113.03,0
91.95,1142.51,0.0,22313.66,Kerbin,55385.33,0
92.96,1156.4,0.0,22992.0,Kerbin,57089.96,0
93.97,1150.41,0.0,23645.57,Kerbin,57066.88,0
94.99,1146.84,0.0,24301.81,Kerbin,57257.1,0
95.99,1151.8,0.0,24983.72,Kerbin,58291.83,0
97.01,1156.63,0.0,25654.23,Kerbin,59338.93,0
98.02,1162.08,0.0,26339.86,Kerbin,60329.18,0
99.04,1167.61,0.0,27026.55,Kerbin,61357.79,0
100.05,1173.1,0.0,27701.26,Kerbin,62389.43,0
101.06,1178.86,0.0,28390.98,Kerbin,63442.03,0
102.07,1184.76,0.0,29082.13,Kerbin,64497.14,0
103.1,1190.72,0.0,29774.73,Kerbin,65575.1,0
104.11,1196.61,0.0,30455.38,Kerbin,66659.48,0
105.13,1202.7,0.0,31151.43,Kerbin,67780.24,0
106.14,1208.91,0.0,31849.27,Kerbin,68908.04,0
107.15,1215.09,0.0,32535.16,Kerbin,70029.57,0
108.16,1221.43,0.0,33236.67,Kerbin,71199.63,0
109.17,1227.71,0.0,33926.44,Kerbin,72368.77,0
110.18,1223.96,0.0,34628.56,Kerbin,72512.84,0
111.2,1218.89,0.0,35324.03,Kerbin,72515.91,0
112.21,1213.98,0.0,35999.37,Kerbin,72518.91,0
113.22,1209.0,0.0,36681.59,Kerbin,72521.93,0
114.27,1203.98,0.0,37370.32,Kerbin,72524.73,0
115.28,1199.2,0.0,38026.01,Kerbin,72527.4,0
116.29,1194.36,0.0,38688.22,Kerbin,72530.07,0
117.31,1189.66,0.0,39331.0,Kerbin,72532.68,0
118.32,1184.92,0.0,39980.05,Kerbin,72535.29,0
119.34,1180.22,0.0,40622.46,Kerbin,72537.77,0
120.36,1175.56,0.0,41258.25,Kerbin,72540.12,0
121.38,1170.95,0.0,41887.42,Kerbin,72542.38,0
122.39,1166.47,0.0,42497.83,Kerbin,72544.53,0
123.4,1161.93,0.0,43113.92,Kerbin,72546.63,0
124.42,1157.45,0.0,43723.42,Kerbin,72548.64,0
125.44,1153.08,0.0,44314.58,Kerbin,72550.42,0
126.44,1148.76,0.0,44899.41,Kerbin,72552.08,0
127.44,1144.4,0.0,45489.44,Kerbin,72553.6,0
128.46,1140.07,0.0,46072.91,Kerbin,72554.95,0
129.48,1135.79,0.0,46649.83,Kerbin,72556.11,0
130.5,1131.55,0.0,47220.2,Kerbin,72557.07,0
131.52,1127.36,0.0,47784.03,Kerbin,72557.85,0
132.54,1123.28,0.0,48330.46,Kerbin,72558.42,0
133.54,1119.17,0.0,48881.36,Kerbin,72558.88,0
134.56,1115.1,0.0,49425.73,Kerbin,72559.2,0
135.58,1111.08,0.0,49963.6,Kerbin,72559.39,0
136.6,1107.09,0.0,50494.96,Kerbin,72559.49,0
137.61,1103.23,0.0,51009.6,Kerbin,72559.51,0
138.62,1099.41,0.0,51517.99,Kerbin,72559.49,0
139.62,1095.55,0.0,52030.14,Kerbin,72559.4,0
140.64,1091.73,0.0,52535.81,Kerbin,72559.27,0
141.65,1088.03,0.0,53025.29,Kerbin,72559.12,0
142.66,1084.3,0.0,53518.16,Kerbin,72558.97,0
143.68,1080.68,0.0,53995.11,Kerbin,72558.85,0
144.68,1077.03,0.0,54475.21,Kerbin,72558.72,0
145.7,1073.42,0.0,54948.88,Kerbin,72558.55,0
146.72,1069.93,0.0,55407.02,Kerbin,72558.35,0
147.73,1066.41,0.0,55867.96,Kerbin,72558.1,0
148.75,1062.92,0.0,56322.49,Kerbin,72557.81,0
149.76,1059.55,0.0,56761.89,Kerbin,72557.49,0
150.77,1056.15,0.0,57203.74,Kerbin,72557.12,0
151.78,1052.8,0.0,57639.19,Kerbin,72556.73,0
152.8,1049.49,0.0,58068.25,Kerbin,72556.31,0
153.82,1046.28,0.0,58482.71,Kerbin,72555.89,0
154.83,1043.12,0.0,58891.04,Kerbin,72555.46,0
155.83,1039.94,0.0,59301.23,Kerbin,72555.03,0
156.85,1036.86,0.0,59697.2,Kerbin,72554.61,0
157.85,1033.82,0.0,60087.06,Kerbin,72554.2,0
158.86,1030.77,0.0,60478.43,Kerbin,72553.79,0
159.87,1027.76,0.0,60863.46,Kerbin,72553.4,0
160.89,1024.79,0.0,61242.15,Kerbin,72553.03,0
161.91,1021.87,0.0,61614.52,Kerbin,72552.68,0
162.93,1019.05,0.0,61973.44,Kerbin,72552.36,0
163.93,1016.28,0.0,62326.29,Kerbin,72552.05,0
164.94,1013.54,0.0,62673.08,Kerbin,72551.76,0
165.94,1010.8,0.0,63020.55,Kerbin,72551.49,0
166.96,1015.56,0.0,63361.45,Kerbin,72554.65,0
167.98,1023.74,0.0,63688.66,Kerbin,72562.24,0
168.99,1032.23,0.0,64015.23,Kerbin,72566.91,0
170.01,1040.9,0.0,64334.58,Kerbin,72572.22,0
171.03,1049.59,0.0,64640.75,Kerbin,72581.13,0
172.04,1058.62,0.0,64946.11,Kerbin,72591.85,0
173.05,1067.8,0.0,65244.5,Kerbin,72601.11,0
174.07,1077.13,0.0,65535.97,Kerbin,72610.21,0
175.08,1086.45,0.0,65815.07,Kerbin,72621.64,0
176.09,1096.11,0.0,66093.08,Kerbin,72634.39,0
177.1,1105.73,0.0,66359.15,Kerbin,72646.1,0
178.11,1115.68,0.0,66623.97,Kerbin,72658.8,0
179.13,1125.79,0.0,66882.24,Kerbin,72673.21,0
180.15,1136.04,0.0,67134.06,Kerbin,72687.88,0
181.17,1146.23,0.0,67374.73,Kerbin,72702.21,0
182.18,1156.55,0.0,67609.31,Kerbin,72717.56,0
183.19,1167.22,0.0,67842.42,Kerbin,72734.15,0
184.2,1178.02,0.0,68069.36,Kerbin,72750.84,0
185.22,1188.73,0.0,68285.95,Kerbin,72767.64,0
186.23,1199.79,0.0,68500.91,Kerbin,72785.63,0
187.24,1210.98,0.0,68709.96,Kerbin,72804.09,0
188.26,1222.29,0.0,68913.17,Kerbin,72822.83,0
189.28,1233.51,0.0,69106.81,Kerbin,72841.73,0
190.28,1245.06,0.0,69298.7,Kerbin,72861.64,0
191.29,1256.51,0.0,69481.4,Kerbin,72881.48,0
192.3,1268.07,0.0,69658.81,Kerbin,72901.67,0
193.3,1279.74,0.0,69831.02,Kerbin,72922.38,0
194.31,1291.76,0.0,70001.4,Kerbin,72943.9,0
195.33,1303.89,0.0,70166.59,Kerbin,72965.81,0
196.35,1316.13,0.0,70326.61,Kerbin,72988.11,0
197.37,1328.24,0.0,70478.58,Kerbin,73010.37,0
198.37,1340.69,0.0,70628.69,Kerbin,73033.43,0
199.39,1353.25,0.0,70773.92,Kerbin,73056.83,0
200.4,1365.67,0.0,70911.67,Kerbin,73080.13,0
201.41,1378.19,0.0,71044.94,Kerbin,73103.77,0
202.41,1391.05,0.0,71176.34,Kerbin,73128.22,0
203.43,1404.02,0.0,71303.28,Kerbin,73153.04,0
204.48,1417.34,0.0,71428.18,Kerbin,73178.66,0
205.49,1430.51,0.0,71546.38,Kerbin,73204.14,0
206.51,1443.51,0.0,71658.22,Kerbin,73229.45,0
207.51,1456.61,0.0,71766.13,Kerbin,73255.08,0
208.51,1469.8,0.0,71870.26,Kerbin,73281.06,0
209.52,1483.34,0.0,71972.65,Kerbin,73307.9,0
210.54,1496.97,0.0,72071.3,Kerbin,73335.12,0
211.55,1510.7,0.0,72166.32,Kerbin,73362.72,0
212.58,1524.25,0.0,72256.06,Kerbin,73390.16,0
213.58,1538.16,0.0,72344.23,Kerbin,73418.57,0
214.59,1551.88,0.0,72427.48,Kerbin,73446.86,0
215.6,1565.96,0.0,72509.25,Kerbin,73476.21,0
216.62,1580.13,0.0,72587.97,Kerbin,73506.07,0
217.64,1594.39,0.0,72663.75,Kerbin,73536.5,0
218.65,1608.74,0.0,72736.71,Kerbin,73567.55,0
219.67,1623.17,0.0,72807.01,Kerbin,73599.3,0
220.69,1637.4,0.0,72873.42,Kerbin,73631.16,0
221.71,1652.0,0.0,72938.76,Kerbin,73664.52,0
222.72,1654.08,0.0,73001.6,Kerbin,73669.9,0
223.74,1653.88,0.0,73044.26,Kerbin,73669.89,0
224.91,1654.47,0.0,73083.36,Kerbin,73671.67,0
225.92,1663.98,0.0,73139.78,Kerbin,73691.69,0
226.94,1673.52,0.0,73193.89,Kerbin,73711.7,0
227.96,1683.11,0.0,73245.76,Kerbin,73731.77,0
228.97,1692.17,0.0,73292.61,Kerbin,73750.67,0
229.98,1701.26,0.0,73337.61,Kerbin,73769.56,0
230.99,1710.97,0.0,73383.51,Kerbin,73789.71,0
232.01,1720.52,0.0,73426.68,Kerbin,73809.58,0
233.02,1730.3,0.0,73468.92,Kerbin,73829.93,0
234.03,1740.13,0.0,73509.45,Kerbin,73850.43,0
235.05,1749.99,0.0,73548.35,Kerbin,73871.11,0
236.07,1759.69,0.0,73584.98,Kerbin,73891.59,0
237.09,1769.63,0.0,73620.93,Kerbin,73912.76,0
238.1,1779.4,0.0,73654.86,Kerbin,73933.83,0
239.1,1789.41,0.0,73688.21,Kerbin,73955.71,0
240.12,1799.46,0.0,73720.43,Kerbin,73978.11,0
241.14,1809.34,0.0,73750.98,Kerbin,74000.62,0
242.15,1819.29,0.0,73781.15,Kerbin,74023.85,0
243.16,1829.04,0.0,73809.86,Kerbin,74047.27,0
244.17,1839.02,0.0,73838.39,Kerbin,74072.1,0
245.18,1849.03,0.0,73866.23,Kerbin,74098.0,0
246.2,1859.08,0.0,73893.47,Kerbin,74125.19,0
247.22,1868.96,0.0,73919.7,Kerbin,74153.92,0
248.26,1879.47,0.0,73947.08,Kerbin,74185.72,0
249.3,1889.61,0.0,73973.13,Kerbin,74218.57,0
250.35,1900.19,0.0,74000.0,Kerbin,74255.53,0
251.4,1910.59,0.0,74026.23,Kerbin,74294.35,0
252.42,1920.83,0.0,74051.99,Kerbin,74337.13,0
253.44,1931.1,0.0,74077.9,Kerbin,74384.75,0
254.45,1941.41,0.0,74104.04,Kerbin,74438.32,0
255.47,1951.53,0.0,74129.99,Kerbin,74498.05,0
256.48,1961.69,0.0,74156.37,Kerbin,74566.77,0
257.48,1972.08,0.0,74183.83,Kerbin,74648.68,0
258.49,1982.3,0.0,74211.39,Kerbin,74744.04,0
259.5,1992.75,0.0,74240.26,Kerbin,74861.68,0
260.51,2003.02,0.0,74269.44,Kerbin,75004.15,0
261.51,2013.53,0.0,74300.18,Kerbin,75192.37,0
262.57,2024.48,0.0,74333.3,Kerbin,75440.36,0
263.59,2035.04,0.0,74366.41,Kerbin,75773.01,9935.68
264.61,2045.63,0.0,74400.85,Kerbin,76250.28,20782.85
265.63,2056.26,0.0,74436.77,Kerbin,76982.23,31667.54
266.66,2066.9,0.0,74474.25,Kerbin,78239.0,42567.51
267.69,2077.79,0.0,74514.22,Kerbin,80601.06,52689.8
268.75,2088.71,0.0,74556.07,Kerbin,85283.64,60832.19
269.77,2099.65,0.0,74599.93,Kerbin,93392.63,65902.51
270.84,2110.83,0.0,74646.84,Kerbin,104549.84,68557.64
271.89,2121.84,0.0,74695.16,Kerbin,117127.87,69919.29
272.93,2133.08,0.0,74746.88,Kerbin,130945.11,70722.01
273.99,2144.13,0.0,74800.19,Kerbin,145212.76,71220.22
275.01,2155.22,0.0,74856.17,Kerbin,160076.05,71558.71
276.06,2166.33,0.0,74914.96,Kerbin,175491.67,71799.89
277.11,2177.47,0.0,74976.68,Kerbin,191445.97,71977.67
278.15,2188.64,0.0,75041.49,Kerbin,207618.25,72109.58
279.15,2199.41,0.0,75106.82,Kerbin,223987.48,72209.44
280.15,2210.41,0.0,75176.66,Kerbin,241223.29,72288.78
281.17,2221.23,0.0,75248.39,Kerbin,258667.95,72349.48
282.18,2232.28,0.0,75324.99,Kerbin,277040.88,72397.6
283.19,2243.37,0.0,75405.21,Kerbin,296023.42,72434.43
284.21,2254.26,0.0,75487.5,Kerbin,315251.7,72461.51
285.21,2265.39,0.0,75575.29,Kerbin,335523.87,72481.37
286.23,2276.55,0.0,75667.09,Kerbin,356493.61,72494.54
287.25,2287.74,0.0,75763.05,Kerbin,378195.33,72501.92
288.27,2298.73,0.0,75861.3,Kerbin,400217.85,72504.21
289.27,2309.97,0.0,75965.91,Kerbin,423481.26,72502.06
290.29,2321.23,0.0,76075.09,Kerbin,447595.63,72495.83
291.32,2332.52,0.0,76188.99,Kerbin,472607.01,72485.9
292.33,2343.83,0.0,76307.75,Kerbin,498565.07,72472.56
293.36,2355.17,0.0,76431.52,Kerbin,525523.26,72456.08
294.38,2366.54,0.0,76560.43,Kerbin,553539.27,72436.67
295.39,2377.71,0.0,76691.96,Kerbin,582092.91,72414.95
296.39,2389.13,0.0,76831.51,Kerbin,612392.56,72390.21
297.41,2400.57,0.0,76976.65,Kerbin,643951.16,72362.98
298.43,2411.81,0.0,77124.51,Kerbin,676189.27,72333.97
299.43,2423.31,0.0,77281.16,Kerbin,710480.73,72302.09
300.45,2434.83,0.0,77443.85,Kerbin,746287.35,72268.0
301.48,2446.38,0.0,77612.72,Kerbin,783710.68,72231.74
302.5,2457.95,0.0,77787.94,Kerbin,822861.58,72193.39
303.51,2469.55,0.0,77969.65,Kerbin,863861.38,72152.97
304.54,2481.18,0.0,78158.02,Kerbin,906843.01,72110.53
305.56,2492.83,0.0,78353.2,Kerbin,951952.57,72066.11
306.57,2504.28,0.0,78551.3,Kerbin,998398.45,72020.65
307.58,2515.99,0.0,78760.43,Kerbin,1048212.84,71972.38
308.6,2527.72,0.0,78976.84,Kerbin,1100685.79,71922.19
309.61,2539.49,0.0,79200.69,Kerbin,1156034.71,71870.1
310.64,2551.27,0.0,79432.14,Kerbin,1214501.37,71816.12
311.65,2563.09,0.0,79671.36,Kerbin,1276355.46,71760.27
312.67,2574.94,0.0,79918.51,Kerbin,1341898.79,71702.54
313.7,2586.81,0.0,80173.75,Kerbin,1411470.12,71642.95
314.71,2598.48,0.0,80432.01,Kerbin,1483955.43,71582.73
315.71,2610.4,0.0,80703.77,Kerbin,1562677.99,71519.46
316.73,2622.36,0.0,80984.12,Kerbin,1646721.02,71454.33
317.76,2634.35,0.0,81273.23,Kerbin,1736641.11,71387.35
318.77,2646.36,0.0,81571.26,Kerbin,1833075.39,71318.5
319.79,2658.17,0.0,81872.27,Kerbin,1934648.78,71249.19
320.79,2670.25,0.0,82188.49,Kerbin,2046256.02,71176.65
321.82,2682.35,0.0,82514.15,Kerbin,2166920.56,71102.24
322.84,2694.49,0.0,82849.41,Kerbin,2297789.55,71025.95
323.86,2706.65,0.0,83194.46,Kerbin,2440212.46,70947.77
324.88,2718.61,0.0,83542.4,Kerbin,2592599.4,70869.3
325.88,2730.84,0.0,83907.34,Kerbin,2762919.01,70787.38
326.9,2743.1,0.0,84282.59,Kerbin,2950544.95,70703.55
327.92,2755.39,0.0,84668.32,Kerbin,3158253.64,70617.81
328.95,2767.72,0.0,85064.71,Kerbin,3389448.82,70530.15
329.96,2780.08,0.0,85471.94,Kerbin,3648349.89,70440.57
330.98,2792.22,0.0,85881.88,Kerbin,3934170.82,70350.85
331.98,2804.65,0.0,86311.12,Kerbin,4264952.92,70257.41
333.0,2817.11,0.0,86751.73,Kerbin,4643979.31,70162.02
334.02,2829.36,0.0,87194.93,Kerbin,5073367.7,70066.59
335.02,2841.89,0.0,87658.62,Kerbin,5585263.34,69967.3
336.04,2854.2,0.0,88124.79,Kerbin,6179539.89,69868.04
337.04,2866.8,0.0,88612.28,Kerbin,6908766.34,69764.81
338.06,2879.44,0.0,89112.05,Kerbin,7804580.32,69659.58
339.08,2891.87,0.0,89614.14,Kerbin,8906538.42,69554.46
340.08,2904.58,0.0,90138.8,Kerbin,10359093.5,69445.24
341.1,2917.33,0.0,90676.32,Kerbin,12314694.37,69333.99
342.12,2930.12,0.0,91226.86,Kerbin,15089377.63,69220.7
343.14,2942.95,0.0,91790.64,Kerbin,19334024.21,69105.36
344.16,2955.82,0.0,92367.83,Kerbin,26637656.41,68987.97
345.18,2968.73,0.0,92958.62,Kerbin,42169766.01,68868.52
346.2,2981.69,0.0,93563.21,Kerbin,97773795.73,68746.99
347.22,2994.68,0.0,94181.78,Kerbin,0,68623.39
348.23,3007.72,0.0,94814.54,Kerbin,0,68497.69
349.26,3020.8,0.0,95461.66,Kerbin,0,68369.9
350.28,3033.93,0.0,96123.35,Kerbin,0,68240.01
351.3,3047.11,0.0,96799.8,Kerbin,0,68108.01
352.32,3060.07,0.0,97477.5,Kerbin,0,67976.55
353.32,3073.07,0.0,98169.74,Kerbin,0,67843.04
354.32,3086.38,0.0,98891.02,Kerbin,0,67704.76
355.34,3099.48,0.0,99613.24,Kerbin,0,67564.35
356.38,3113.42,0.0,100395.3,Kerbin,0,67416.09
357.4,3126.62,0.0,101148.89,Kerbin,0,67273.85
358.41,3140.13,0.0,101933.52,Kerbin,0,67127.19
359.43,3153.43,0.0,102718.6,Kerbin,0,66981.47
360.43,3167.05,0.0,103535.74,Kerbin,0,66830.27
361.45,3180.46,0.0,104353.08,Kerbin,0,66679.88
362.46,3194.18,0.0,105203.51,Kerbin,0,66524.72
363.48,3207.97,0.0,106071.05,Kerbin,0,66367.4
364.49,3221.81,0.0,106955.9,Kerbin,0,66207.64
365.51,3235.71,0.0,107858.25,Kerbin,0,66045.78
366.53,3249.4,0.0,108760.1,Kerbin,0,65885.22
367.54,3263.42,0.0,109697.72,Kerbin,0,65719.24
368.55,3277.5,0.0,110653.45,Kerbin,0,65550.96
369.57,3291.36,0.0,111608.21,Kerbin,0,65383.99
370.58,3305.57,0.0,112600.39,Kerbin,0,65211.67
371.6,3319.57,0.0,113591.28,Kerbin,0,65040.58
372.61,3333.91,0.0,114620.71,Kerbin,0,64863.87
373.63,3348.03,0.0,115648.51,Kerbin,0,64688.65
374.64,3362.51,0.0,116715.99,Kerbin,0,64507.89
375.66,3377.05,0.0,117802.97,Kerbin,0,64324.95
376.68,3391.67,0.0,118909.68,Kerbin,0,64139.87
377.7,3406.36,0.0,120036.31,Kerbin,0,63952.78
378.72,3421.13,0.0,121183.07,Kerbin,0,63763.63
379.73,3435.68,0.0,122327.07,Kerbin,0,63576.14
380.74,3450.6,0.0,123514.29,Kerbin,0,63382.85
381.76,3465.6,0.0,124722.24,Kerbin,0,63187.56
382.77,3480.68,0.0,125951.14,Kerbin,0,62990.26
383.8,3495.85,0.0,127201.18,Kerbin,0,62790.9
384.81,3511.1,0.0,128472.57,Kerbin,0,62589.56
385.83,3526.13,0.0,129739.97,Kerbin,0,62390.27
386.84,3541.24,0.0,131028.28,Kerbin,0,62189.09
387.84,3556.75,0.0,132364.1,Kerbin,0,61981.93
388.87,3572.35,0.0,133722.1,Kerbin,0,61772.85
389.87,3587.73,0.0,135075.19,Kerbin,0,61566.04
390.89,3603.51,0.0,136477.7,Kerbin,0,61353.22
391.89,3619.08,0.0,137874.83,Kerbin,0,61142.72
392.9,3635.06,0.0,139322.68,Kerbin,0,60926.19
393.91,3650.81,0.0,140764.65,Kerbin,0,60712.14
394.92,3666.99,0.0,142258.64,Kerbin,0,60492.0
395.94,3683.27,0.0,143776.24,Kerbin,0,60270.04
396.96,3699.33,0.0,145287.21,Kerbin,0,60050.7
397.96,3715.82,0.0,146852.19,Kerbin,0,59825.25
398.98,3732.42,0.0,148441.41,Kerbin,0,59598.01
399.99,3749.13,0.0,150055.08,Kerbin,0,59369.02
401.02,3765.96,0.0,151693.4,Kerbin,0,59138.3
402.04,3782.56,0.0,153323.74,Kerbin,0,58910.42
403.04,3799.28,0.0,154978.19,Kerbin,0,58680.85
404.05,3816.12,0.0,156656.94,Kerbin,0,58449.58
405.05,3833.42,0.0,158394.51,Kerbin,0,58211.94
406.06,3850.83,0.0,160157.79,Kerbin,0,57972.51
407.08,3868.04,0.0,161911.65,Kerbin,0,57735.96
408.09,3884.47,0.0,163726.33,Kerbin,0,57507.43
409.11,3895.98,0.0,165564.51,Kerbin,0,57337.08
410.12,3906.87,0.0,167424.43,Kerbin,0,57172.46
411.14,3915.23,0.0,169268.48,Kerbin,0,57037.55
412.15,3920.63,0.0,171167.83,Kerbin,0,56937.87
413.16,3925.87,0.0,173084.91,Kerbin,0,56839.13
414.18,3931.02,0.0,174981.63,Kerbin,0,56740.35
415.19,3936.19,0.0,176895.39,Kerbin,0,56640.87
416.19,3940.21,0.0,178864.82,Kerbin,0,56555.74
417.2,3937.76,0.0,180809.42,Kerbin,0,56551.04
418.22,3934.86,0.0,182804.53,Kerbin,0,56551.04
419.23,3933.1,0.0,184811.43,Kerbin,0,56536.09
420.25,3933.64,0.0,186831.79,Kerbin,0,56490.08
421.26,3934.18,0.0,188866.12,Kerbin,0,56444.81
422.28,3934.71,0.0,190874.05,Kerbin,0,56401.68
423.29,3935.26,0.0,192935.83,Kerbin,0,56357.14
424.31,3934.47,0.0,195011.13,Kerbin,0,56328.56
425.32,3931.75,0.0,197057.03,Kerbin,0,56326.5
426.33,3931.39,0.0,199114.55,Kerbin,0,56292.58
427.34,3928.49,0.0,201224.99,Kerbin,0,56292.23
428.35,3925.63,0.0,203304.55,Kerbin,0,56292.23
429.35,3922.7,0.0,205436.33,Kerbin,0,56292.23
430.37,3919.77,0.0,207578.73,Kerbin,0,56292.23
431.43,3916.72,0.0,209816.3,Kerbin,0,56292.23
432.49,3913.68,0.0,212065.12,Kerbin,0,56292.23
433.55,3910.63,0.0,214325.1,Kerbin,0,56292.23
434.58,3907.7,0.0,216510.21,Kerbin,0,56292.23
435.62,3904.72,0.0,218748.59,Kerbin,0,56292.23
436.63,31026.48,0.0,13312123501.9,Sun,74660523770.92,13263425728.53
437.65,51025.24,0.0,13297736462.08,Sun,74660523770.92,13263425728.53
438.65,51068.04,0.0,13297707817.61,Sun,74660523770.92,13263425728.53
439.71,51111.67,0.0,13297679735.55,Sun,74660523770.92,13263425728.53
440.73,53697.09,0.0,13296004550.42,Sun,74660523770.92,13263425728.53
441.74,62056.09,0.0,13290874679.63,Sun,74660523770.92,13263425728.53
442.74,70447.85,0.0,13286164413.14,Sun,74660523770.92,13263425728.53
443.79,79341.47,0.0,13281653642.09,Sun,74660523770.92,13263425728.53
444.83,87897.06,0.0,13277782183.18,Sun,74660523770.92,13263425728.53
445.83,96281.92,0.0,13274433838.06,Sun,74660523770.92,13263425728.53
446.85,104830.88,0.0,13271475181.2,Sun,74660523770.92,13263425728.53
447.86,113375.66,0.0,13268978145.78,Sun,74660523770.92,13263425728.53
448.88,121915.77,0.0,13266943110.3,Sun,74660523770.92,13263425728.53
